source,target,layer,assembly_id,weight,weight_newman,group_ids,group_names,group_size,shared_count,overlap_start,overlap_end,dates_assumed
TNP-00007,TNP-00141,amendment_cosponsorship,NCA-2011,2,0.112637,AMD-2247a8797ae5;AMD-0f4b98798c5d,,29;14,2,,,false
TNP-00007,TNP-00264,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
TNP-00007,TNP-00277,amendment_cosponsorship,NCA-2011,10,0.73924,AMD-554ee503f44d;AMD-43e5b2c691f0;AMD-d58a4d34c7ce;AMD-1887faa16bdb;AMD-bf06467979a1;AMD-1caacd3ad386;AMD-8c12863d44d5;AMD-31fb5c3e8550;AMD-f040076a3bbd;AMD-65282f019b4b,,14;13;15;14;15;15;15;14;17;14,10,,,false
TNP-00007,TNP-00285,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
TNP-00007,TNP-00289,amendment_cosponsorship,NCA-2011,7,0.456817,AMD-5e915def50f9;AMD-43e5b2c691f0;AMD-a00ab295eab9;AMD-f5d468482ee2;AMD-709fea508869;AMD-d58a4d34c7ce;AMD-bf06467979a1,,28;13;14;21;16;15;15,7,,,false
TNP-00007,TNP-00332,amendment_cosponsorship,NCA-2011,3,0.183333,AMD-dd5e98dfab44;AMD-f5d468482ee2;AMD-709fea508869,,16;21;16,3,,,false
TNP-00007,TNP-00357,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
TNP-00007,TNP-00367,amendment_cosponsorship,NCA-2011,4,0.219516,AMD-5e915def50f9;AMD-ed33e3dfc852;AMD-438c31059701;AMD-b7c92c15dbaf,,28;14;19;21,4,,,false
TNP-00007,TNP-00368,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-2247a8797ae5,,29,1,,,false
TNP-00007,TNP-00369,amendment_cosponsorship,NCA-2011,1,0.076923,AMD-ed33e3dfc852,,14,1,,,false
TNP-00007,TNP-00370,amendment_cosponsorship,NCA-2011,12,0.726521,AMD-5e915def50f9;AMD-dd5e98dfab44;AMD-43e5b2c691f0;AMD-b7c92c15dbaf;AMD-4c0dfbe435fb;AMD-93967fd78a63;AMD-f5d468482ee2;AMD-f4cc65b72190;AMD-d58a4d34c7ce;AMD-bf06467979a1;AMD-093cfdbb1c71;AMD-f040076a3bbd,,28;16;13;21;15;15;21;19;15;15;29;17,12,,,false
TNP-00007,TNP-00371,amendment_cosponsorship,NCA-2011,2,0.388889,AMD-438c31059701;AMD-4d75db02f04b,,19;4,2,,,false
TNP-00007,TNP-00372,amendment_cosponsorship,NCA-2011,4,0.263965,AMD-05298926192f;AMD-1887faa16bdb;AMD-31fb5c3e8550;AMD-f040076a3bbd,,22;14;14;17,4,,,false
TNP-00007,TNP-00376,amendment_cosponsorship,NCA-2011,2,0.105556,AMD-438c31059701;AMD-b7c92c15dbaf,,19;21,2,,,false
TNP-00007,TNP-00377,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
TNP-00007,TNP-00378,amendment_cosponsorship,NCA-2011,3,0.209524,AMD-709fea508869;AMD-1caacd3ad386;AMD-85ae0415de30,,16;15;15,3,,,false
TNP-00007,TNP-00380,amendment_cosponsorship,NCA-2011,1,0.071429,AMD-88f8708ba94d,,15,1,,,false
TNP-00007,TNP-00381,amendment_cosponsorship,NCA-2011,4,0.214021,AMD-88f8708ba94d;AMD-5e915def50f9;AMD-438c31059701;AMD-b7c92c15dbaf,,15;28;19;21,4,,,false
TNP-00007,TNP-00384,amendment_cosponsorship,NCA-2011,3,0.14418,AMD-88f8708ba94d;AMD-2247a8797ae5;AMD-5e915def50f9,,15;29;28,3,,,false
TNP-00007,TNP-00385,amendment_cosponsorship,NCA-2011,2,0.085714,AMD-f5d468482ee2;AMD-093cfdbb1c71,,21;29,2,,,false
TNP-00007,TNP-00387,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
TNP-00007,TNP-00390,amendment_cosponsorship,NCA-2011,3,0.149674,AMD-2247a8797ae5;AMD-5e915def50f9;AMD-0f4b98798c5d,,29;28;14,3,,,false
TNP-00007,TNP-00391,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
TNP-00007,TNP-00392,amendment_cosponsorship,NCA-2011,9,0.549415,AMD-88f8708ba94d;AMD-5e915def50f9;AMD-98ea0b213eb4;AMD-f5d468482ee2;AMD-f4cc65b72190;AMD-05298926192f;AMD-1887faa16bdb;AMD-bf06467979a1;AMD-f040076a3bbd,,15;28;14;21;19;22;14;15;17,9,,,false
TNP-00007,TNP-00395,amendment_cosponsorship,NCA-2011,7,0.455169,AMD-5e915def50f9;AMD-554ee503f44d;AMD-b7c92c15dbaf;AMD-4c0dfbe435fb;AMD-1caacd3ad386;AMD-8c12863d44d5;AMD-65282f019b4b,,28;14;21;15;15;15;14,7,,,false
TNP-00007,TNP-00399,amendment_cosponsorship,NCA-2011,2,0.142857,AMD-1caacd3ad386;AMD-8c12863d44d5,,15;15,2,,,false
TNP-00007,TNP-00400,amendment_cosponsorship,NCA-2011,4,0.296703,AMD-554ee503f44d;AMD-a00ab295eab9;AMD-1caacd3ad386;AMD-8c12863d44d5,,14;14;15;15,4,,,false
TNP-00007,TNP-00401,amendment_cosponsorship,NCA-2011,1,0.035714,AMD-093cfdbb1c71,,29,1,,,false
