kept_person_id,kept_assembly_id,kept_name_lat,incoming_source,incoming_source_key,incoming_assembly_id,incoming_name_lat,name_ar,arabic_key,merged
TNP-00238,ARP-2019,Jedidi Sboui,MARSAD_ANC,4f4fbcf3bd8cb5615700000f,NCA-2011,Jdidi Essbouîi,الجديدي السبوعي,جديدي سبوعي,no
TNP-00193,ARP-2019,Fadhel Ouej,MARSAD_ANC,4f4fbcf3bd8cb56157000081,NCA-2011,Fadhel Elouej,فاضل الوج,فاضل وج,no
TNP-00204,ARP-2019,Ferida Laabidi,MARSAD_ANC,4f4fbcf3bd8cb56157000088,NCA-2011,Farida Labidi,فريدة عبيدي,عبيدي فريده,no
TNP-00205,ARP-2019,Foued Thameur,MARSAD_ANC,4f4fbcf3bd8cb5615700008b,NCA-2011,Foued Thamer,فؤاد ثامر,ثامر فواد,no
TNP-00405,NCA-2011,Bechir Lazzem,MARSAD_ARP2014,Bechir_Ellazzem,ARP-2014,Bechir Ellazzem,البشير اللزام,بشير لزام,no
TNP-00400,NCA-2011,Iyed Dahmani,MARSAD_ARP2014,Iyad_Dahmani,ARP-2014,Iyad Dahmani,إياد الدهماني,اياد دهماني,no
TNP-00420,NCA-2011,Khmais Ksila,MARSAD_ARP2014,Khemais_Ksila,ARP-2014,Khemais Ksila,خميس قسيلة,خميس قسيله,no
TNP-00262,ARP-2019,Marouan Falfel,MARSAD_ARP2014,Marouan_Felfel,ARP-2014,Marouan Felfel,مروان فلفال,فلفال مروان,no
TNP-00530,NCA-2011,Monia Ibrahim,MARSAD_ARP2014,Monia_Brahim,ARP-2014,Monia Brahim,منية ابراهيم,ابراهيم منيه,no
TNP-00314,ARP-2019,Oussama Sghaier,MARSAD_ARP2014,Oussama_Al_Sghaier,ARP-2014,Oussama Al Sghaier,أسامة علية الصغير,اسامه صغير عليه,no
TNP-00396,NCA-2011,Walid Bennani,MARSAD_ARP2014,Walid_Banneni,ARP-2014,Walid Banneni,الوليد البناني,بناني وليد,no
