career_id,person_id,seq,role_raw,role_en,organisation_raw,organisation_id,sector,is_ministerial,start_date,end_date,date_precision,relative_to_mandate,extraction_method,confidence,source_ids
CAR-a4486f5d028a,TNP-00367,1,membre du syndicat,,Membre du syndicat,ORG-79b3c4f88ab6,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-6ac192d0127c,TNP-00367,2,membre d’une association d’apprentissage du Coran,,,,civil_society,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-3ef5cfb642aa,TNP-00371,1,enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-bf92fba5474c,TNP-00372,1,membre du syndicat,,syndicaliste,ORG-90034a45a294,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-a6956b2bb743,TNP-00372,2,membre du bureau politique en 1987,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-a529a3dad578,TNP-00372,3,ministre de l'Enseignement supérieur dans le gouvernement de transit,,,,state_executive,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-01d07cb6c86d,TNP-00372,4,Professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-9284e14f1e9f,TNP-00372,5,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-ebfa0446d951,TNP-00373,1,membre du bureau politique du parti,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-d2b76d4d063f,TNP-00373,2,ministre du Développement régional et local au sein du nouveau gouve,,,,state_executive,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-1cc5bd593fa4,TNP-00373,3,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-069eff406f7c,TNP-00378,1,ingénieur,,,,other,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-06a18db790db,TNP-00378,2,enseignante,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-d20047fe436c,TNP-00379,1,chirurgien,,,,health,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-cf3388fcc0e9,TNP-00379,2,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-73b30c4f0114,TNP-00380,1,juge,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-65c066c1b7ac,TNP-00380,2,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-9438c4671f4d,TNP-00380,3,imam,,,,religious,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-91bf1b7f715b,TNP-00381,1,membre du bureau politique du mouvement et son vice porte-parole lors de l’arrestation,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-a58b23cc8c92,TNP-00381,2,entrepreneur,,,,business,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-341384f381c5,TNP-00382,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-be61788e5050,TNP-00382,2,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c553b5363a49,TNP-00383,1,enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-0cbfddc85cc3,TNP-00384,1,institutrice,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-6b5770338c96,TNP-00385,1,membre du syndicat,,UGTT,ORG-5b95d566da8b,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-16eb77da0ae1,TNP-00385,2,Universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-db0d82088a7d,TNP-00385,3,militaire,,,,military,,,,unknown,unknown,rule,low,MARSAD_ANC
CAR-a627b9e7a0c8,TNP-00386,1,instituteur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c1d590e31b95,TNP-00387,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-700763b47d4e,TNP-00389,1,membre du syndicat,,UGTT,ORG-5b95d566da8b,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-ab8efb36b4d5,TNP-00389,2,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-491804447e57,TNP-00390,1,membre du bureau politique,,,,party,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-14ba78ae646e,TNP-00396,1,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-299ed41f5684,TNP-00397,1,avocat,,,,judiciary,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c7cf0ca145ae,TNP-00397,2,enseignante,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-9b91e1f0c0a8,TNP-00405,1,enseignante,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-29ea4ddf1056,TNP-00407,1,Enseignant,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-1342f45b91c7,TNP-00408,1,médecin,,,,health,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-039530f54e90,TNP-00409,1,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-c9f13550490f,TNP-00410,1,enseignante,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-310854dc1b67,TNP-00410,2,universitaire,,,,academia,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-36e6df4c9a7f,TNP-00411,1,professeur,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-4235f00ba518,TNP-00415,1,institutrice,,,,education,,,,unknown,unknown,rule,medium,MARSAD_ANC
CAR-e39176e3189b,TNP-00416,1,membre du syndicat,,UGTT,ORG-5b95d566da8b,trade_union,,,,unknown,unknown,rule,medium,MARSAD_ANC
