committee_id,assembly_id,name_ar,name_lat,name_en,type,policy_domain,seats
CMT-10ce63ee42df,ARP-2023,لجنة التخطيط الإستراتيجي والتنمية المستدامة والنقل والبنية التحتية والتهيئة العمرانية,"Commission de  la Planification Stratégique, du Développement Durable, du Transport",,standing,اللجان التشريعية القارة,
CMT-12bc734f9df1,NCA-2011,لجنة الشؤون التربوية,,,legislative,,
CMT-13e8b4757c0d,NCA-2011,لجنة المالية والتخطيط والتنمية,,,legislative,,
CMT-14e6e316b483,ARP-2019,لجنة الفلاحة والأمن الغذائي والتجارة والخدمات ذات الصلة,,,standing,,
CMT-178580c40e35,NCA-2011,لجنة الهيئات الدستورية,,,constituent,,
CMT-18172a2cec3f,ARP-2023,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,"Commission de la santé, de la femme et de la famille, des affaires sociales et des personnes handicapées",,standing,اللجان التشريعية القارة,
CMT-1933d120e1de,ARP-2019,لجنة شؤون التونسيين بالخارج,,,standing,,
CMT-1c52d559d3de,ARP-2019,لجنة المالية والتخطيط والتنمية,,,standing,,
CMT-1e6f29539bbd,ARP-2019,لجنة شهداء الثورة و جرحاها و تنفيذ قانون العفو العام والعدالة الانتقالية,,,standing,,
CMT-21c634fba2ad,ADV-2005,لجنة الحصانة,Commission de l’immunité,,standing,,
CMT-23b65b4eec22,ADV-2005,لجنة الشؤون السياسية و حقوق الإنسان والعلاقات الخارجية,"Commission de affaires politiques, des droits de l'homme et des relations extérieures",,standing,,
CMT-2bc1cee50ba8,ARP-2014,لجنة المالية والتخطيط والتنمية,,,standing,,
CMT-309f56b78ead,ARP-2023,لجنة الدفاع والأمن والقوات الحاملة للسلاح,"Commission de la défense, de la sécurité et des forces armées",,standing,اللجان التشريعية القارة,
CMT-336c11e63d66,NCA-2011,لجنة التحقيق في أحداث 9 أفريل,,,special,,
CMT-3a051620fd33,ARP-2014,لجنة التشريع العام,,,standing,,
CMT-3b890b1f160a,NCA-2011,لجنة الإصلاح الإداري ومكافحة الفساد,,,special,,
CMT-3d7249cea75a,ADV-2005,لجنة التشريع العام والتنظيم العام للإدارة,Commission de la législation générale et de l’organisation générale de l’administration,,standing,,
CMT-3e7af871322d,ARP-2014,لجنة شؤون ذوي الإعاقة والفئات الهشة,,,standing,,
CMT-400b91a3bed5,NCA-2011,لجنة الخاصة للنظام الداخلي والحصانة,,,special,,
CMT-43611af20002,ARP-2019,لجنة النظام الداخلي و الحصانة و القوانين البرلمانية و القوانين الانتخابية,,,standing,,
CMT-4633b2874c88,ARP-2014,لجنة الحقوق والحريّات والعلاقات الخارجية,,,standing,,
CMT-47b4ceeab70a,ARP-2014,لجنة الشباب والشّؤون الثقافية و التربية والبحث العلمي,,,standing,,
CMT-499d23e8523f,NCA-2011,لجنة شهداء وجرحى الثورة وتفعيل العفو التشريعي العام,,,special,,
CMT-4d57513fbffc,NCA-2011,لجنة القضاء العدلي والإداري والمالي والدستوري,,,constituent,,
CMT-4e91930c5e8b,NCA-2011,لجنة التوطئة والمبادئ الأساسية وتعديل الدستور,,,constituent,,
