person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00247,Latifa Habachi,Ennahdha,6,CMT-336c11e63d66 CMT-4d57513fbffc CMT-5d1546fffb75 CMT-663b2e4cb3f4 CMT-b46554e2045e CMT-e6b2fac8e5c7,Special 2 | Constituent 5 | Special 1 | Joint 1 | Legislative 7 | Legislative 6,83,25,6.0
TNP-00476,Imed Hammami,Ennahdha,5,CMT-336c11e63d66 CMT-5d1546fffb75 CMT-663b2e4cb3f4 CMT-b46554e2045e CMT-c6c8260db7f4,Special 2 | Special 1 | Joint 1 | Legislative 7 | Constituent 4,77,16,5.0
TNP-00332,Samia Abbou,CPR,5,CMT-336c11e63d66 CMT-545e8558a206 CMT-5d1546fffb75 CMT-78e966e1d482 CMT-f2d2d05db58f,Special 2 | Constituent 3 | Special 1 | Special 3 | Legislative 4,73,29,5.0
TNP-00399,Iyed Dahmani,No bloc,5,CMT-336c11e63d66 CMT-663b2e4cb3f4 CMT-7249209246b3 CMT-78e966e1d482 CMT-e6b2fac8e5c7,Special 2 | Joint 1 | Constituent 6 | Special 3 | Legislative 6,71,20,5.0
TNP-00429,Rim Mahjoub,Democratic Bloc,4,CMT-400b91a3bed5 CMT-52252f4274f6 CMT-545e8558a206 CMT-5d1546fffb75,Special 5 | Legislative 3 | Constituent 3 | Special 1,72,11,4.0
TNP-00467,Abdelaziz Kotti,No bloc,4,CMT-499d23e8523f CMT-4d57513fbffc CMT-78e966e1d482 CMT-f6f9e9d7cbb2,Special 6 | Constituent 5 | Special 3 | Legislative 8,72,4,4.0
TNP-00500,Mohamed Tahar Ilahi,No bloc,4,CMT-3b890b1f160a CMT-5d1546fffb75 CMT-8978fc995f04 CMT-f2d2d05db58f,Special 4 | Special 1 | Legislative 5 | Legislative 4,70,11,4.0
TNP-00437,Salma Hedia Mabrouk,Democratic Bloc,4,CMT-336c11e63d66 CMT-52252f4274f6 CMT-5d1546fffb75 CMT-7249209246b3,Special 2 | Legislative 3 | Special 1 | Constituent 6,68,13,4.0
TNP-00456,Tarek Bouaziz,Democratic Transition,4,CMT-13e8b4757c0d CMT-336c11e63d66 CMT-499d23e8523f CMT-c6c8260db7f4,Legislative 2 | Special 2 | Special 6 | Constituent 4,68,12,4.0
TNP-00289,Mongi Rahoui,Democratic Bloc,4,CMT-13e8b4757c0d CMT-3b890b1f160a CMT-5d1546fffb75 CMT-c6c8260db7f4,Legislative 2 | Special 4 | Special 1 | Constituent 4,68,15,4.0
TNP-00451,Salha Ben Aicha,Ennahdha,4,CMT-400b91a3bed5 CMT-545e8558a206 CMT-663b2e4cb3f4 CMT-f2d2d05db58f,Special 5 | Constituent 3 | Joint 1 | Legislative 4,67,8,4.0
TNP-00401,Aymen Zouaghi,No bloc,4,CMT-336c11e63d66 CMT-545e8558a206 CMT-78e966e1d482 CMT-f2d2d05db58f,Special 2 | Constituent 3 | Special 3 | Legislative 4,63,18,4.0
TNP-00424,Rabiî Abdi,Loyalty to the Revolution,4,CMT-178580c40e35 CMT-5d1546fffb75 CMT-663b2e4cb3f4 CMT-b46554e2045e,Constituent 1 | Special 1 | Joint 1 | Legislative 7,63,11,4.0
TNP-00519,Mahmoud Gouiaa,Ennahdha,4,CMT-336c11e63d66 CMT-7249209246b3 CMT-78e966e1d482 CMT-e6b2fac8e5c7,Special 2 | Constituent 6 | Special 3 | Legislative 6,62,16,4.0
