person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00110,Rym Sghaier,No bloc,3,CMT-56efc6c780f9 CMT-966af1bec2c4 CMT-d74c07127db9,Legislation | Finances et du Budget | Relations Extérieures…,37,0,1.2792
TNP-00064,Ammar Idoudi,Li-Yantasir al-Shaab,3,CMT-56efc6c780f9 CMT-5a174a8e00bb CMT-d74c07127db9,Legislation | Agriculture de la sécur… | Relations Extérieures…,32,1,1.2125
TNP-00146,Mokhtar Abdelmoula,Li-Yantasir al-Shaab,3,CMT-309f56b78ead CMT-5267b383ff24 CMT-56efc6c780f9,"Défense, de la sécurité… | Règlement intérieur, de… | Legislation",32,0,1.2337
TNP-00026,Mariem Cherif,No bloc,3,CMT-56efc6c780f9 CMT-5a174a8e00bb CMT-7c0357a9f3f7,"Legislation | Agriculture de la sécur… | Tourisme, la culture, d…",32,0,1.1437
TNP-00109,Rim Maachaoui,Voice of the Republic,3,CMT-10ce63ee42df CMT-56efc6c780f9 CMT-6d49329b2466,"Planification Stratégiq… | Legislation | Industrie, du commerce…",32,0,1.3125
TNP-00066,Imededdine Sdiri,Voice of the Republic,3,CMT-5a174a8e00bb CMT-966af1bec2c4 CMT-b3ceee509580,Agriculture de la sécur… | Finances et du Budget | Organisation administra…,32,0,1.2767
TNP-00004,yassine Mami,Independent National,3,CMT-56efc6c780f9 CMT-7c0357a9f3f7 CMT-d74c07127db9,"Legislation | Tourisme, la culture, d… | Relations Extérieures…",30,2,1.1587
TNP-00131,Boubaker Ben Yahya,Sovereignist National Line,3,CMT-7c0357a9f3f7 CMT-b3ceee509580 CMT-d74c07127db9,"Tourisme, la culture, d… | Organisation administra… | Relations Extérieures…",28,0,1.2096
TNP-00071,Aziz Ben Lakhdher,Al Amana wal Amal,3,CMT-5267b383ff24 CMT-7c0357a9f3f7 CMT-d74c07127db9,"Règlement intérieur, de… | Tourisme, la culture, d… | Relations Extérieures…",27,0,1.1712
TNP-00149,Taïeb Talbi,Li-Yantasir al-Shaab,3,CMT-6d49329b2466 CMT-76cc55ae8838 CMT-d74c07127db9,"Industrie, du commerce… | Droits et libertés | Relations Extérieures…",27,0,1.125
TNP-00019,Manel Bdida,Al Amana wal Amal,3,CMT-18172a2cec3f CMT-76cc55ae8838 CMT-9dc809177956,"Santé, de la femme et d… | Droits et libertés | Éducation, la formation…",27,0,1.24
TNP-00103,Sami Toujani,Al Amana wal Amal,3,CMT-309f56b78ead CMT-5a174a8e00bb CMT-6d49329b2466,"Défense, de la sécurité… | Agriculture de la sécur… | Industrie, du commerce…",26,1,1.0812
TNP-00123,Hassen Boussama,Al Ahrar,3,CMT-309f56b78ead CMT-5267b383ff24 CMT-5a174a8e00bb,"Défense, de la sécurité… | Règlement intérieur, de… | Agriculture de la sécur…",26,1,1.1562
TNP-00049,Lotfi Saadaoui,Li-Yantasir al-Shaab,3,CMT-5a174a8e00bb CMT-76cc55ae8838 CMT-b3ceee509580,Agriculture de la sécur… | Droits et libertés | Organisation administra…,25,1,1.1433
TNP-00138,Aymen Ben Salah,Independent National,3,CMT-5267b383ff24 CMT-76cc55ae8838 CMT-b3ceee509580,"Règlement intérieur, de… | Droits et libertés | Organisation administra…",25,1,1.2333
TNP-00086,dhafer Sghiri,No bloc,2,CMT-56efc6c780f9 CMT-966af1bec2c4,Legislation | Finances et du Budget,31,11,1.3708
TNP-00083,Abdel jalil El Heni,Independent National,2,CMT-18172a2cec3f CMT-966af1bec2c4,"Santé, de la femme et d… | Finances et du Budget",29,9,1.4597
TNP-00078,Abdessalem Hamrouni,Sovereignist National Line,2,CMT-309f56b78ead CMT-966af1bec2c4,"Défense, de la sécurité… | Finances et du Budget",29,3,1.159
TNP-00068,Ali Bouzouzia,Sovereignist National Line,2,CMT-18172a2cec3f CMT-56efc6c780f9,"Santé, de la femme et d… | Legislation",28,8,1.7007
TNP-00058,Msedi Fatma,No bloc,2,CMT-56efc6c780f9 CMT-76cc55ae8838,Legislation | Droits et libertés,28,2,1.1042
TNP-00126,Hatem Labbaoui,Voice of the Republic,2,CMT-56efc6c780f9 CMT-9dc809177956,"Legislation | Éducation, la formation…",28,4,1.2201
TNP-00098,Cyrine Boussandel,Voice of the Republic,2,CMT-5a174a8e00bb CMT-7c0357a9f3f7,"Agriculture de la sécur… | Tourisme, la culture, d…",27,6,1.4
TNP-00070,Issam Bahri Jebri,No bloc,2,CMT-6d49329b2466 CMT-966af1bec2c4,"Industrie, du commerce… | Finances et du Budget",27,3,1.1333
TNP-00145,Channoufi Naceur,Voice of the Republic,2,CMT-966af1bec2c4 CMT-9dc809177956,"Finances et du Budget | Éducation, la formation…",27,2,1.1188
TNP-00057,Fethi Mechrgui,Al Amana wal Amal,2,CMT-309f56b78ead CMT-56efc6c780f9,"Défense, de la sécurité… | Legislation",27,1,0.9399
TNP-00124,Hassen Ben Ali,Voice of the Republic,2,CMT-56efc6c780f9 CMT-9dc809177956,"Legislation | Éducation, la formation…",26,3,1.0897
