person_id,name_lat,committee_id,committee,role
TNP-00001,Youssef Tarchoun,CMT-5267b383ff24,"La commission du règlement intérieur, des lois électorales, des lois…",rapporteur
TNP-00001,Youssef Tarchoun,CMT-5267b383ff24,"La commission du règlement intérieur, des lois électorales, des lois…",member
TNP-00002,Youssef Toumi,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00002,Youssef Toumi,CMT-56efc6c780f9,Commission de la legislation,vice_chair
TNP-00003,Yosri Baouab,CMT-5267b383ff24,"La commission du règlement intérieur, des lois électorales, des lois…",member
TNP-00004,yassine Mami,CMT-7c0357a9f3f7,"Commission du tourisme, la culture, des services et des industries ar…",chair
TNP-00004,yassine Mami,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00004,yassine Mami,CMT-d74c07127db9,"Commission des Relations Extérieures, de la Coopération international…",member
TNP-00005,Yasser Grari,CMT-56efc6c780f9,Commission de la legislation,chair
TNP-00005,Yasser Grari,CMT-56efc6c780f9,Commission de la legislation,rapporteur
TNP-00006,Walid Hajji,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00006,Walid Hajji,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",member
TNP-00007,Hichem Hosni,CMT-5267b383ff24,"La commission du règlement intérieur, des lois électorales, des lois…",member
TNP-00007,Hichem Hosni,CMT-5267b383ff24,"La commission du règlement intérieur, des lois électorales, des lois…",vice_chair
TNP-00008,Hela Jaballa,CMT-76cc55ae8838,Commission des droits et libertés,chair
TNP-00008,Hela Jaballa,CMT-76cc55ae8838,Commission des droits et libertés,member
TNP-00008,Hela Jaballa,CMT-76cc55ae8838,Commission des droits et libertés,rapporteur
TNP-00009,Noura Chabrak,CMT-10ce63ee42df,"Commission de la Planification Stratégique, du Développement Durable…",member
TNP-00009,Noura Chabrak,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00010,Nourelhouda Sbaiti,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",member
TNP-00011,Nizar Seddik,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",member
TNP-00011,Nizar Seddik,CMT-7c0357a9f3f7,"Commission du tourisme, la culture, des services et des industries ar…",member
TNP-00012,Nejib Akremi,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",rapporteur
TNP-00013,Najla Lahiani,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",vice_chair
TNP-00013,Najla Lahiani,CMT-d74c07127db9,"Commission des Relations Extérieures, de la Coopération international…",member
TNP-00013,Najla Lahiani,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",member
TNP-00014,Nabih Thabet,CMT-18172a2cec3f,"Commission de la santé, de la femme et de la famille, des affaires so…",chair
TNP-00015,Nabil Hamdi,CMT-966af1bec2c4,Commission des Finances et du Budget,member
TNP-00015,Nabil Hamdi,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",member
TNP-00016,Maha Ameur,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",member
TNP-00016,Maha Ameur,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",rapporteur
TNP-00016,Maha Ameur,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",member
TNP-00017,Mounir Kammouni,CMT-b3ceee509580,"Commission d'organisation administrative, Développement, Digitalisati…",member
TNP-00017,Mounir Kammouni,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",member
TNP-00017,Mounir Kammouni,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",vice_chair
TNP-00018,Moncef Maaloul,CMT-18172a2cec3f,"Commission de la santé, de la femme et de la famille, des affaires so…",member
TNP-00018,Moncef Maaloul,CMT-18172a2cec3f,"Commission de la santé, de la femme et de la famille, des affaires so…",vice_chair
TNP-00018,Moncef Maaloul,CMT-18172a2cec3f,"Commission de la santé, de la femme et de la famille, des affaires so…",member
TNP-00019,Manel Bdida,CMT-18172a2cec3f,"Commission de la santé, de la femme et de la famille, des affaires so…",member
TNP-00019,Manel Bdida,CMT-76cc55ae8838,Commission des droits et libertés,vice_chair
TNP-00019,Manel Bdida,CMT-9dc809177956,"Commission de l'éducation, la formation, la recherche scientifique, d…",member
TNP-00020,Melik Kammoun,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00020,Melik Kammoun,CMT-56efc6c780f9,Commission de la legislation,rapporteur
TNP-00020,Melik Kammoun,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00021,Moez Ben Youssef,CMT-d74c07127db9,"Commission des Relations Extérieures, de la Coopération international…",member
TNP-00021,Moez Ben Youssef,CMT-966af1bec2c4,Commission des Finances et du Budget,member
TNP-00022,Moez Barkallah,CMT-10ce63ee42df,"Commission de la Planification Stratégique, du Développement Durable…",vice_chair
TNP-00022,Moez Barkallah,CMT-10ce63ee42df,"Commission de la Planification Stratégique, du Développement Durable…",member
TNP-00023,Moez Riahi,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00024,Mustapha Boubakri,CMT-966af1bec2c4,Commission des Finances et du Budget,member
TNP-00025,Messaoud Grira,CMT-966af1bec2c4,Commission des Finances et du Budget,member
TNP-00026,Mariem Cherif,CMT-7c0357a9f3f7,"Commission du tourisme, la culture, des services et des industries ar…",vice_chair
TNP-00026,Mariem Cherif,CMT-5a174a8e00bb,Commission de l'agriculture de la sécurité alimentaire de l'eau et de…,rapporteur
TNP-00026,Mariem Cherif,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00027,Mourad khezami,CMT-b3ceee509580,"Commission d'organisation administrative, Développement, Digitalisati…",vice_chair
TNP-00028,Mokhtar Ifaoui,CMT-56efc6c780f9,Commission de la legislation,member
TNP-00029,Mahmoud Chalghaf,CMT-b3ceee509580,"Commission d'organisation administrative, Développement, Digitalisati…",member
TNP-00029,Mahmoud Chalghaf,CMT-309f56b78ead,"Commission de la défense, de la sécurité et des forces armées",member
TNP-00030,Mahmoud El Amri,CMT-309f56b78ead,"Commission de la défense, de la sécurité et des forces armées",member
TNP-00030,Mahmoud El Amri,CMT-309f56b78ead,"Commission de la défense, de la sécurité et des forces armées",chair
TNP-00030,Mahmoud El Amri,CMT-309f56b78ead,"Commission de la défense, de la sécurité et des forces armées",member
TNP-00031,Mohamed Mejdi,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",chair
TNP-00031,Mohamed Mejdi,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",member
TNP-00032,Mohamed Ali Fennira,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",member
TNP-00032,Mohamed Ali Fennira,CMT-6d49329b2466,"Commission de l'Industrie, du commerce, des richesses naturelles, de…",rapporteur
TNP-00033,Mohamed Ali,CMT-76cc55ae8838,Commission des droits et libertés,rapporteur
