vote_date,listed_members,share_absent,share_abstained,share_not_voting
2012-07-18,209,0.1531,0.0383,0.1914
2012-07-24,209,0.1579,0.0048,0.1627
2012-11-08,210,0.3524,0.0,0.3524
2012-11-14,210,0.3143,0.0,0.3143
2012-11-14,210,0.3667,0.0,0.3667
2012-11-20,210,0.4,0.0,0.4
2012-11-27,210,0.319,0.0381,0.3571
2012-11-27,210,0.3381,0.0048,0.3429
2012-11-27,210,0.3571,0.019,0.3762
2012-11-27,210,0.3714,0.0,0.3714
2012-11-27,210,0.3714,0.0048,0.3762
2012-11-27,210,0.381,0.0,0.381
2012-11-28,210,0.4524,0.0,0.4524
2012-11-29,210,0.3381,0.0762,0.4143
2012-11-29,210,0.3476,0.0762,0.4238
2012-12-04,210,0.2619,0.0143,0.2762
2012-12-04,210,0.2857,0.0095,0.2952
2012-12-04,210,0.3667,0.019,0.3857
2012-12-04,210,0.3714,0.0143,0.3857
2012-12-04,210,0.3905,0.0143,0.4048
2012-12-04,210,0.4238,0.0143,0.4381
2012-12-05,210,0.3048,0.0048,0.3095
2012-12-05,210,0.4381,0.0333,0.4714
2012-12-06,210,0.4048,0.0048,0.4095
2012-12-06,210,0.419,0.0143,0.4333
2012-12-06,210,0.4286,0.0095,0.4381
2012-12-06,210,0.4333,0.0,0.4333
2012-12-06,210,0.4333,0.0143,0.4476
2012-12-06,210,0.4429,0.0,0.4429
2012-12-06,210,0.4429,0.0048,0.4476
2012-12-06,210,0.4524,0.0,0.4524
2012-12-06,210,0.4524,0.0048,0.4571
2012-12-06,210,0.4524,0.0095,0.4619
2012-12-06,210,0.4571,0.0,0.4571
2012-12-06,210,0.5571,0.0,0.5571
2012-12-12,210,0.3714,0.0714,0.4429
2012-12-12,210,0.4571,0.0286,0.4857
2012-12-12,210,0.4667,0.0286,0.4952
2012-12-14,210,0.4619,0.0095,0.4714
2012-12-14,210,0.5095,0.0714,0.581
2012-12-20,210,0.2857,0.119,0.4048
2012-12-24,210,0.2952,0.1,0.3952
2012-12-24,210,0.3,0.1,0.4
2012-12-24,210,0.3048,0.081,0.3857
2012-12-24,210,0.3048,0.0952,0.4
2012-12-24,210,0.3143,0.0952,0.4095
2012-12-24,210,0.319,0.081,0.4
2012-12-24,210,0.319,0.081,0.4
2012-12-24,210,0.319,0.0905,0.4095
2012-12-24,210,0.3238,0.0714,0.3952
2012-12-24,210,0.3238,0.0714,0.3952
2012-12-24,210,0.3286,0.0857,0.4143
2012-12-24,210,0.3381,0.0714,0.4095
2012-12-24,210,0.3429,0.0667,0.4095
2012-12-24,210,0.3429,0.1048,0.4476
2012-12-24,210,0.3476,0.0619,0.4095
2012-12-24,210,0.3524,0.081,0.4333
2012-12-24,210,0.3524,0.0952,0.4476
2012-12-24,210,0.3524,0.1143,0.4667
2012-12-24,210,0.3571,0.0952,0.4524
2012-12-24,210,0.3571,0.1,0.4571
2012-12-24,210,0.3619,0.1048,0.4667
2012-12-24,210,0.3667,0.0952,0.4619
2012-12-24,210,0.3667,0.1048,0.4714
2012-12-24,210,0.3762,0.0857,0.4619
2012-12-24,210,0.3762,0.1048,0.481
2012-12-24,210,0.3905,0.0905,0.481
2012-12-24,210,0.3952,0.0762,0.4714
2012-12-24,210,0.4238,0.0619,0.4857
2013-03-09,211,0.4076,0.0142,0.4218
2013-03-09,211,0.4171,0.0095,0.4265
2013-03-09,211,0.4171,0.0237,0.4408
2013-03-09,211,0.4218,0.0427,0.4645
2013-03-09,211,0.4218,0.0569,0.4787
2013-03-09,211,0.4265,0.0284,0.455
2013-03-09,211,0.4408,0.0284,0.4692
2013-03-11,211,0.3555,0.0284,0.3839
2013-03-11,211,0.3649,0.0284,0.3934
2013-03-11,211,0.3839,0.019,0.4028
2013-03-11,211,0.3839,0.0332,0.4171
2013-03-11,211,0.3934,0.0237,0.4171
2013-03-11,211,0.3981,0.019,0.4171
2013-03-11,211,0.4076,0.019,0.4265
2013-03-13,211,0.0853,0.0616,0.1469
2013-03-14,211,0.4265,0.0284,0.455
2013-03-15,211,0.3412,0.0853,0.4265
2013-03-15,211,0.3649,0.0095,0.3744
2013-03-15,211,0.3886,0.0379,0.4265
2013-03-15,211,0.455,0.0427,0.4976
2013-03-15,211,0.4787,0.0427,0.5213
2013-03-15,211,0.4834,0.0569,0.5403
2013-04-03,211,0.4123,0.0332,0.4455
2013-04-03,211,0.5403,0.019,0.5592
2013-04-10,211,0.3555,0.0047,0.3602
2013-04-10,211,0.3791,0.0,0.3791
2013-04-10,211,0.3886,0.0,0.3886
2013-04-10,211,0.3934,0.019,0.4123
2013-04-10,211,0.4028,0.0047,0.4076
2013-04-10,211,0.4313,0.0047,0.436
2013-04-10,211,0.4455,0.0142,0.4597
2013-04-11,211,0.3318,0.0332,0.3649
2013-04-11,211,0.3365,0.0237,0.3602
2013-04-12,211,0.3649,0.0047,0.3697
2013-04-12,211,0.3886,0.0142,0.4028
2013-04-12,211,0.3934,0.0047,0.3981
2013-04-12,211,0.3934,0.0047,0.3981
2013-04-12,211,0.4123,0.0047,0.4171
2013-04-12,211,0.4218,0.0142,0.436
2013-04-16,211,0.1896,0.0664,0.2559
2013-04-23,211,0.3081,0.1185,0.4265
2013-04-23,211,0.3365,0.0237,0.3602
2013-04-23,211,0.3649,0.0142,0.3791
2013-04-23,211,0.3649,0.0332,0.3981
2013-04-23,211,0.3697,0.0142,0.3839
2013-04-23,211,0.3934,0.0047,0.3981
2013-04-24,211,0.2749,0.0474,0.3223
2013-04-24,211,0.2844,0.019,0.3033
2013-04-24,211,0.3081,0.0284,0.3365
2013-04-24,211,0.3175,0.0664,0.3839
2013-04-24,211,0.3365,0.0332,0.3697
2013-04-24,211,0.3507,0.0332,0.3839
2013-04-24,211,0.3555,0.019,0.3744
2013-04-24,211,0.3555,0.0332,0.3886
2013-04-24,211,0.3555,0.0379,0.3934
2013-04-24,211,0.3649,0.019,0.3839
2013-04-24,211,0.3649,0.0237,0.3886
2013-05-03,211,0.3081,0.1043,0.4123
2013-05-03,211,0.4076,0.0664,0.4739
2013-05-09,211,0.3649,0.0569,0.4218
2013-05-09,211,0.3839,0.0616,0.4455
2013-05-09,211,0.4265,0.0758,0.5024
2013-05-09,211,0.4455,0.0616,0.5071
2013-06-05,211,0.2607,0.1137,0.3744
2013-06-05,211,0.3223,0.0474,0.3697
2013-06-21,212,0.4245,0.0425,0.467
2013-06-26,212,0.4717,0.0236,0.4953
2013-06-28,212,0.3726,0.0094,0.3821
2013-07-10,212,0.2925,0.0755,0.3679
2013-07-17,212,0.3208,0.0708,0.3915
2013-07-17,212,0.3491,0.0708,0.4198
2013-07-17,212,0.4811,0.0472,0.5283
2013-07-19,212,0.0802,0.0,0.0802
2013-07-19,212,0.1462,0.0,0.1462
2013-07-20,212,0.1557,0.0,0.1557
2013-07-20,212,0.1698,0.0,0.1698
2013-07-20,212,0.2453,0.0,0.2453
2013-07-22,212,0.2075,0.0,0.2075
2013-07-23,212,0.1274,0.0,0.1274
2013-07-23,212,0.1745,0.0,0.1745
2013-08-30,212,0.0,0.0,0.0
2013-09-17,212,0.4009,0.0142,0.4151
2013-09-17,212,0.4198,0.0142,0.434
2013-09-17,212,0.4434,0.0,0.4434
2013-09-17,212,0.4434,0.0094,0.4528
2013-09-17,212,0.4623,0.0377,0.5
2013-09-24,212,0.4198,0.0142,0.434
2013-09-24,212,0.4434,0.0142,0.4575
