agreement_from,agreement_to,pairs,cosponsoring_pairs,share_cosponsoring,ci_low,ci_high,in_figure
0.15,0.2,1,0,0.0,0.0,0.7935,False
0.2,0.25,18,5,0.2778,0.125,0.5087,False
0.25,0.3,60,19,0.3167,0.2131,0.4423,True
0.3,0.35,89,34,0.382,0.2879,0.4859,True
0.35,0.4,208,70,0.3365,0.2758,0.4032,True
0.4,0.45,448,134,0.2991,0.2586,0.3431,True
0.45,0.5,759,214,0.2819,0.2511,0.315,True
0.5,0.55,1584,455,0.2872,0.2655,0.31,True
0.55,0.6,2296,685,0.2983,0.28,0.3174,True
0.6,0.65,2480,904,0.3645,0.3458,0.3837,True
0.65,0.7,3033,1175,0.3874,0.3702,0.4049,True
0.7,0.75,3235,1309,0.4046,0.3878,0.4217,True
0.75,0.8,2663,1233,0.463,0.4441,0.482,True
0.8,0.85,2027,939,0.4632,0.4416,0.485,True
0.85,0.9,1536,712,0.4635,0.4387,0.4885,True
0.9,0.95,2041,1106,0.5419,0.5202,0.5634,True
0.95,1.0,857,359,0.4189,0.3863,0.4522,True
1.0,1.05,2,0,0.0,0.0,0.6576,False
